=== Inventory Report ===
Generated By: ADMIN
Generated On: 2025-10-28 13:11:15
ID,Name,Quantity,Price,Category
101,Bulbs,7,300.0,Electronics
102,Notebook,5,2200.0,Stationery
103,Pen,500,2500.0,Stationery
104,Bottle,100,3500.0,Kitchen
105,Hp Laptop,15,65000.82,Electronics
106,Table,19,1500.55,Stationary
107,Mobile,30,15700.0,Electronics
108,Mobile Charger,20,500.0,Electronics
109,Keyboard,18,2000.0,Electronics
110,Plastic Cover,25,20.0,Stationary
111,Pillow,17,2000.0,Daily Need
----------------------------------------
Total Products: 11
